year,nino12,nino4,enso_type
1979,0.13998823,-0.13043176,Neutral
1980,-0.4593084,0.057622325,Neutral
1981,-0.74166715,-0.41305238,LaNiña
1982,0.8626941,0.47453445,EP
1983,2.607161,-0.32510394,EP
1984,-0.4870441,-0.50509834,LaNiña
1985,-1.0939674,-0.4769784,LaNiña
1986,-0.23947743,0.18472274,Neutral
1987,1.0598481,0.74745464,EP
1988,-1.2949424,-0.8829597,LaNiña
1989,-0.6155587,-0.54435855,LaNiña
1990,-0.4900794,0.2822915,Neutral
1991,0.45232433,0.60225993,CP
1992,0.1658952,0.29774597,Neutral
1993,0.6166876,0.24090974,EP
1994,-0.39531434,0.6713062,CP
1995,-0.49771467,-0.00016298293,Neutral
1996,-1.0135319,-0.2396768,LaNiña
1997,3.4910939,0.6394204,EP
1998,1.0303247,-0.82540494,LaNiña
1999,-0.5663064,-0.8859662,LaNiña
2000,-0.35169867,-0.529116,LaNiña
2001,-0.8711359,0.21098931,LaNiña
2002,0.093293644,0.77055204,CP
2003,-0.47846237,0.3461446,Neutral
2004,-0.49544382,0.65244585,CP
2005,-0.6679529,0.16565223,LaNiña
2006,0.53896314,0.5381757,EP
2007,-1.1704677,-0.2726164,LaNiña
2008,0.82112616,-0.6149916,LaNiña
2009,0.6052438,0.6187042,CP
2010,-0.87388885,-0.9278207,LaNiña
2011,-0.22919488,-0.50446326,LaNiña
2012,0.28398684,0.13119367,Neutral
2013,-1.1168818,-0.018092707,LaNiña
2014,0.9803201,0.46885028,EP
2015,2.0738764,1.1219933,EP
2016,0.4190227,0.09687871,Neutral
2017,-0.4290925,0.2329034,Neutral
2018,-0.22739002,0.64612234,CP
2019,-0.55399096,0.8143018,LaNiña
2020,-0.89356387,-0.15186043,LaNiña
2021,-0.44112533,-0.22600195,Neutral
2022,-1.1140137,-0.8593912,LaNiña
2023,2.6406574,1.0453424,EP
